EmployeeNumber,Age,Age_Group,Gender,Department,JobRole,BusinessTravel,DistanceFromHome,Education,EducationField,JobLevel,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,MonthlyIncome,Salary_Band,OverTime,TotalWorkingYears,Experience_Band,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,PercentSalaryHike,PerformanceRating,StockOptionLevel,MaritalStatus,Attrition
190,32,25-34,Female,"Research & Development","Laboratory Technician",Travel_Rarely,9,3,Medical,1,1,1,1,4,4200,Medium,No,10,"6-10 Years",5,4,0,4,7,2,22,4,0,Single,Yes
192,45,45-54,Male,"Research & Development","Research Scientist",Travel_Rarely,29,3,Medical,1,4,3,2,2,3452,Medium,No,9,"6-10 Years",6,5,0,3,5,2,13,3,0,Single,No
193,38,35-44,Female,"Research & Development","Research Scientist",Travel_Rarely,3,5,"Technical Degree",2,3,4,2,3,4317,Medium,Yes,19,"11-20 Years",3,2,2,2,3,2,20,4,0,Single,No
194,30,25-34,Female,"Research & Development","Research Scientist",Travel_Rarely,18,3,"Life Sciences",1,3,1,3,2,2632,Low,No,5,"3-5 Years",5,4,0,4,1,4,14,3,0,Single,No
195,32,25-34,Male,Sales,"Sales Executive",Travel_Frequently,9,2,Medical,2,4,4,4,4,4668,Medium,No,9,"6-10 Years",8,7,0,7,0,2,17,3,3,Divorced,No
197,30,25-34,Female,"Research & Development","Research Scientist",Travel_Rarely,5,3,"Technical Degree",1,1,4,4,3,3204,Medium,No,8,"6-10 Years",3,2,2,2,5,3,14,3,1,Divorced,No
198,30,25-34,Male,"Research & Development","Laboratory Technician",Travel_Rarely,2,1,Medical,1,4,2,4,3,2720,Low,No,6,"6-10 Years",5,3,1,2,0,3,13,3,0,Single,No
199,41,35-44,Male,"Research & Development",Manager,Travel_Frequently,10,3,"Life Sciences",4,1,4,2,2,17181,"Very High",No,21,"20+ Years",7,6,7,7,4,2,13,3,1,Divorced,No
200,41,35-44,Male,"Research & Development","Laboratory Technician",Travel_Rarely,9,4,"Life Sciences",1,1,3,4,3,2238,Low,No,7,"6-10 Years",5,0,1,4,2,2,21,4,1,Married,No
201,19,"Under 25",Female,"Research & Development","Laboratory Technician",Travel_Rarely,3,1,Medical,1,2,2,4,3,1483,Low,No,1,"0-2 Years",1,0,0,0,1,3,14,3,0,Single,No
202,40,35-44,Female,"Research & Development","Research Scientist",Travel_Frequently,26,3,Medical,2,2,2,1,3,5605,Medium,No,20,"11-20 Years",20,7,2,13,1,2,11,3,1,Divorced,No
204,35,35-44,Male,Sales,"Sales Executive",Travel_Rarely,1,5,Marketing,3,2,3,1,3,7295,High,No,10,"6-10 Years",10,8,0,6,1,3,13,3,2,Married,No
205,53,45-54,Male,Sales,"Sales Representative",Travel_Rarely,6,2,Marketing,2,3,2,4,1,2306,Low,Yes,13,"11-20 Years",7,7,4,5,2,3,20,4,1,Married,No
206,45,45-54,Male,"Research & Development","Laboratory Technician",Travel_Rarely,9,3,"Life Sciences",2,2,2,3,1,2348,Low,No,20,"11-20 Years",17,9,0,15,8,2,18,3,1,Divorced,No
207,32,25-34,Female,Sales,"Sales Executive",Travel_Frequently,8,3,Marketing,3,4,2,4,3,8998,High,No,9,"6-10 Years",9,8,3,7,1,2,14,3,0,Single,No
208,29,25-34,Male,"Research & Development","Manufacturing Director",Non-Travel,1,1,"Technical Degree",2,3,4,1,3,4319,Medium,No,10,"6-10 Years",10,7,0,9,1,1,13,3,1,Married,No
211,51,45-54,Male,"Research & Development","Manufacturing Director",Travel_Rarely,7,4,Medical,2,3,2,3,3,6132,High,No,10,"6-10 Years",1,0,0,0,2,2,17,3,0,Married,No
214,58,55+,Female,"Research & Development","Research Scientist",Travel_Rarely,9,3,Medical,1,2,2,2,2,3346,Medium,Yes,9,"6-10 Years",1,0,0,0,4,3,20,4,1,Married,No
215,40,35-44,Male,Sales,"Sales Executive",Travel_Rarely,4,4,Marketing,3,4,3,1,2,10855,"Very High",No,15,"11-20 Years",12,11,2,11,7,2,11,3,1,Married,No
216,34,25-34,Female,Sales,"Sales Representative",Travel_Frequently,2,4,Marketing,1,3,3,4,3,2231,Low,No,6,"6-10 Years",4,3,1,2,6,3,18,3,1,Married,No
217,22,"Under 25",Male,"Research & Development","Research Scientist",Travel_Rarely,19,1,Medical,1,4,3,1,3,2323,Low,No,2,"0-2 Years",2,2,2,2,1,6,24,4,2,Married,No
218,27,25-34,Male,"Research & Development","Research Scientist",Non-Travel,9,3,Medical,1,2,4,4,1,2024,Low,No,6,"6-10 Years",2,2,2,2,6,1,18,3,1,Divorced,No
221,28,25-34,Male,"Research & Development","Research Scientist",Travel_Rarely,21,3,Medical,1,4,3,3,1,2713,Low,No,5,"3-5 Years",5,2,0,2,1,2,11,3,1,Married,No
223,57,55+,Male,"Research & Development","Healthcare Representative",Travel_Rarely,24,2,"Life Sciences",3,4,3,2,1,9439,High,Yes,12,"11-20 Years",5,3,1,4,3,2,16,3,1,Divorced,No
224,27,25-34,Male,"Research & Development","Research Scientist",Non-Travel,3,3,Medical,1,3,3,4,2,2566,Low,Yes,1,"0-2 Years",1,1,0,1,1,2,15,3,1,Divorced,No
226,50,45-54,Female,"Research & Development",Manager,Travel_Rarely,11,3,"Life Sciences",5,2,3,2,3,19926,"Very High",No,21,"20+ Years",5,4,4,4,3,5,15,3,0,Single,No
227,41,35-44,Male,"Research & Development","Research Scientist",Travel_Rarely,14,3,"Life Sciences",1,3,1,1,3,2451,Low,No,13,"11-20 Years",9,8,1,8,4,2,12,3,1,Divorced,No
228,30,25-34,Female,Sales,"Sales Executive",Travel_Rarely,5,3,"Life Sciences",3,4,2,3,3,9419,High,No,12,"11-20 Years",10,9,7,4,2,2,12,3,1,Married,No
230,38,35-44,Female,Sales,"Sales Executive",Travel_Rarely,1,4,"Life Sciences",2,4,1,3,4,8686,High,No,12,"11-20 Years",8,3,0,7,4,2,22,4,0,Single,No
231,32,25-34,Male,"Research & Development","Research Scientist",Travel_Rarely,6,5,"Life Sciences",1,3,3,1,3,3038,Medium,No,8,"6-10 Years",5,4,1,4,3,2,20,4,0,Single,No
233,27,25-34,Male,"Research & Development","Research Scientist",Travel_Rarely,17,3,"Technical Degree",1,2,3,4,2,3058,Medium,Yes,6,"6-10 Years",5,2,1,1,0,3,16,3,1,Married,No
235,19,"Under 25",Female,Sales,"Sales Representative",Travel_Frequently,1,1,"Technical Degree",1,1,3,1,4,2325,Low,No,1,"0-2 Years",0,0,0,0,0,5,21,4,0,Single,Yes
238,36,35-44,Male,"Research & Development","Laboratory Technician",Travel_Frequently,3,2,Medical,1,2,4,3,2,2088,Low,No,13,"11-20 Years",8,7,7,2,4,3,12,3,0,Single,No
239,30,25-34,Male,"Research & Development","Laboratory Technician",Non-Travel,9,3,Medical,2,1,3,3,3,3072,Medium,No,12,"11-20 Years",12,9,6,10,1,4,11,3,2,Divorced,No
240,45,45-54,Female,Sales,"Sales Executive",Travel_Rarely,4,2,"Life Sciences",2,1,3,1,4,5006,Medium,Yes,9,"6-10 Years",5,4,0,3,4,3,11,3,1,Divorced,No
241,56,55+,Female,"Research & Development","Research Scientist",Travel_Rarely,8,3,"Life Sciences",1,1,3,3,3,4257,Medium,Yes,19,"11-20 Years",2,2,2,2,4,3,18,3,1,Divorced,No
242,33,25-34,Male,"Research & Development","Research Scientist",Travel_Rarely,2,3,"Life Sciences",1,4,3,1,4,2500,Low,No,4,"3-5 Years",3,1,0,2,0,2,14,3,0,Single,No
243,19,"Under 25",Male,"Research & Development","Laboratory Technician",Travel_Rarely,2,3,"Life Sciences",1,4,2,3,2,1102,Low,No,1,"0-2 Years",1,0,1,0,1,3,22,4,0,Single,Yes
244,46,45-54,Female,Sales,"Sales Executive",Travel_Rarely,1,2,Marketing,3,1,2,3,3,10453,"Very High",No,24,"20+ Years",24,13,15,7,1,2,25,4,3,Divorced,No
245,38,35-44,Female,"Research & Development","Laboratory Technician",Travel_Rarely,9,2,"Life Sciences",1,4,3,3,3,2288,Low,No,2,"0-2 Years",2,2,2,1,1,3,12,3,0,Single,No
246,31,25-34,Female,"Research & Development","Research Scientist",Travel_Rarely,12,1,Medical,1,4,3,3,3,3929,Medium,Yes,7,"6-10 Years",4,2,0,2,8,0,23,4,1,Married,No
247,34,25-34,Female,"Research & Development","Research Scientist",Travel_Rarely,27,2,Medical,1,2,4,4,3,2311,Low,No,9,"6-10 Years",3,2,1,2,2,3,15,3,0,Single,No
248,41,35-44,Female,Sales,"Sales Representative",Travel_Rarely,20,2,Marketing,1,2,2,4,2,3140,Medium,Yes,4,"3-5 Years",4,3,0,2,1,5,22,4,0,Single,Yes
249,50,45-54,Male,"Research & Development","Laboratory Technician",Travel_Rarely,1,3,Medical,1,3,3,4,2,3690,Medium,No,5,"3-5 Years",3,2,0,2,2,2,15,3,1,Married,No
250,53,45-54,Female,"Research & Development","Manufacturing Director",Travel_Rarely,13,2,Medical,2,1,4,3,3,4450,Medium,No,5,"3-5 Years",4,2,1,3,1,3,11,3,2,Divorced,No
252,33,25-34,Female,"Research & Development","Research Scientist",Travel_Rarely,14,3,Medical,1,2,4,4,3,2756,Low,No,8,"6-10 Years",8,7,1,6,1,5,13,3,1,Married,No
253,40,35-44,Female,"Research & Development",Manager,Travel_Rarely,4,1,Medical,5,3,4,2,3,19033,"Very High",No,21,"20+ Years",20,8,9,9,1,2,14,3,1,Married,No
254,55,55+,Male,"Research & Development","Research Director",Travel_Rarely,14,4,Medical,5,2,3,4,3,18722,"Very High",No,36,"20+ Years",24,15,2,15,8,3,11,3,0,Single,No
256,34,25-34,Male,"Research & Development","Manufacturing Director",Travel_Frequently,2,1,"Life Sciences",2,3,4,3,2,9547,High,No,10,"6-10 Years",10,9,1,9,1,2,17,3,0,Married,No
258,51,45-54,Female,"Research & Development","Healthcare Representative",Travel_Rarely,3,3,Medical,4,2,4,3,3,13734,"Very High",No,21,"20+ Years",7,7,1,0,3,6,18,3,0,Single,No
259,52,45-54,Male,"Research & Development",Manager,Travel_Rarely,1,4,"Life Sciences",5,3,3,1,3,19999,"Very High",No,34,"20+ Years",33,18,11,9,0,5,14,3,1,Married,No
260,27,25-34,Female,"Research & Development","Research Scientist",Travel_Rarely,9,3,Medical,1,2,4,4,2,2279,Low,No,7,"6-10 Years",7,7,0,3,1,2,16,3,0,Single,No
261,35,35-44,Male,"Research & Development","Manufacturing Director",Travel_Rarely,23,2,"Life Sciences",2,3,2,1,3,5916,Medium,Yes,8,"6-10 Years",1,0,0,1,3,1,13,3,0,Married,Yes
262,43,35-44,Male,"Research & Development","Research Scientist",Non-Travel,7,3,Medical,1,4,4,4,4,2089,Low,No,7,"6-10 Years",5,4,2,2,4,3,14,3,3,Divorced,No
264,45,45-54,Male,"Research & Development",Manager,Non-Travel,2,2,Medical,4,4,1,4,3,16792,"Very High",No,22,"20+ Years",20,8,11,8,9,1,23,4,1,Married,No
267,37,35-44,Male,"Research & Development","Research Scientist",Travel_Rarely,21,3,"Life Sciences",1,1,2,1,2,3564,Medium,Yes,8,"6-10 Years",8,7,1,7,1,3,12,3,1,Married,No
269,35,35-44,Female,"Research & Development","Laboratory Technician",Travel_Frequently,2,3,Medical,2,2,2,4,3,4425,Medium,No,10,"6-10 Years",6,2,1,2,5,5,11,3,0,Single,No
270,42,35-44,Female,"Research & Development","Manufacturing Director",Non-Travel,21,2,Medical,2,3,3,2,3,5265,Medium,No,11,"11-20 Years",5,3,0,2,2,5,16,3,1,Divorced,No
271,38,35-44,Male,"Research & Development","Manufacturing Director",Travel_Rarely,2,4,"Life Sciences",2,3,4,2,3,6553,High,No,14,"11-20 Years",1,0,0,0,9,3,14,3,0,Married,No
273,38,35-44,Male,"Research & Development","Manufacturing Director",Travel_Rarely,29,3,"Technical Degree",2,4,4,1,1,6261,High,No,9,"6-10 Years",7,7,1,7,3,3,18,3,1,Married,No
274,27,25-34,Male,"Research & Development","Manufacturing Director",Travel_Frequently,1,1,"Technical Degree",2,1,3,3,3,4298,Medium,No,6,"6-10 Years",2,2,2,0,5,1,19,3,1,Married,No
275,49,45-54,Male,"Research & Development","Manufacturing Director",Non-Travel,18,4,"Life Sciences",2,4,4,1,3,6804,High,Yes,7,"6-10 Years",7,7,1,7,1,0,15,3,2,Divorced,No
277,34,25-34,Male,"Research & Development","Research Scientist",Travel_Frequently,10,4,Medical,1,3,4,4,4,3815,Medium,Yes,5,"3-5 Years",5,3,2,0,1,4,17,3,1,Divorced,No
281,40,35-44,Male,"Research & Development","Laboratory Technician",Travel_Rarely,19,2,Medical,2,4,3,3,4,2741,Low,Yes,15,"11-20 Years",7,2,3,7,8,2,15,3,1,Married,No
282,38,35-44,Male,"Research & Development","Healthcare Representative",Travel_Rarely,29,1,Medical,2,1,2,2,3,6673,High,Yes,17,"11-20 Years",1,0,0,0,7,2,19,3,0,Married,Yes
283,29,25-34,Female,Sales,"Sales Executive",Travel_Rarely,27,3,Marketing,3,4,2,4,2,7639,High,No,10,"6-10 Years",10,4,1,9,1,3,22,4,3,Married,Yes
284,22,"Under 25",Male,"Research & Development","Research Scientist",Travel_Rarely,5,3,"Life Sciences",1,2,4,1,2,2328,Low,Yes,4,"3-5 Years",4,2,2,2,1,2,16,3,1,Divorced,No
286,36,35-44,Female,"Research & Development","Laboratory Technician",Travel_Frequently,18,1,Medical,1,4,2,1,3,2153,Low,No,8,"6-10 Years",8,1,1,7,1,2,13,3,0,Single,No
287,40,35-44,Male,"Research & Development","Healthcare Representative",Non-Travel,9,5,"Life Sciences",2,4,4,4,1,4876,Medium,No,5,"3-5 Years",3,2,0,2,9,5,14,3,1,Married,No
288,46,45-54,Male,"Research & Development","Healthcare Representative",Travel_Rarely,1,4,Medical,3,1,4,3,3,9396,High,No,17,"11-20 Years",4,2,0,3,7,3,16,3,1,Divorced,No
291,32,25-34,Male,Sales,"Sales Executive",Travel_Rarely,4,4,Medical,3,4,4,3,2,10400,"Very High",No,14,"11-20 Years",14,8,9,8,1,2,11,3,0,Married,Yes
292,30,25-34,Male,"Research & Development","Manufacturing Director",Non-Travel,1,1,"Life Sciences",3,3,3,3,3,8474,High,No,12,"11-20 Years",11,8,5,8,1,2,22,4,0,Single,No
293,27,25-34,Female,Sales,"Sales Executive",Travel_Frequently,20,3,"Life Sciences",2,3,4,4,3,9981,High,No,7,"6-10 Years",7,7,0,7,1,2,14,3,0,Single,No
296,51,45-54,Male,"Research & Development","Research Director",Travel_Rarely,8,4,"Life Sciences",3,2,2,4,1,12490,"Very High",No,16,"11-20 Years",10,9,4,7,5,5,16,3,2,Married,No
297,30,25-34,Female,"Research & Development","Research Scientist",Travel_Rarely,3,3,"Technical Degree",1,1,4,3,3,2657,Low,Yes,8,"6-10 Years",5,2,0,4,5,5,11,3,0,Single,Yes
298,41,35-44,Female,Sales,Manager,Travel_Rarely,6,3,"Life Sciences",3,4,4,3,3,13591,"Very High",Yes,16,"11-20 Years",1,0,0,0,3,3,18,3,0,Single,No
299,30,25-34,Female,Sales,"Sales Executive",Travel_Frequently,26,4,Marketing,2,1,3,3,2,6696,High,No,9,"6-10 Years",6,3,0,1,5,5,15,3,0,Single,Yes
300,29,25-34,Male,"Research & Development","Research Scientist",Travel_Rarely,1,3,"Technical Degree",1,3,3,4,2,2058,Low,No,7,"6-10 Years",6,2,1,5,0,1,14,3,0,Single,Yes
302,45,45-54,Female,Sales,"Sales Executive",Non-Travel,6,3,Medical,3,4,4,4,3,8865,High,No,23,"20+ Years",19,7,12,8,6,2,12,3,0,Single,No
303,54,45-54,Female,Sales,"Sales Executive",Travel_Rarely,3,3,Marketing,2,1,4,4,3,5940,Medium,No,16,"11-20 Years",6,2,0,5,2,4,14,3,1,Married,No
304,36,35-44,Male,"Research & Development","Laboratory Technician",Travel_Rarely,5,2,"Life Sciences",2,2,4,4,4,5914,Medium,No,16,"11-20 Years",13,11,3,7,8,3,16,3,0,Single,No
305,33,25-34,Female,"Research & Development","Research Scientist",Travel_Rarely,4,4,Medical,1,2,3,4,3,2622,Low,No,7,"6-10 Years",3,2,1,1,6,3,21,4,0,Married,No
306,37,35-44,Male,"Research & Development","Research Director",Travel_Frequently,11,3,Other,3,4,2,3,3,12185,"Very High",Yes,10,"6-10 Years",10,8,0,7,1,1,14,3,3,Divorced,No
307,38,35-44,Male,Sales,"Sales Executive",Travel_Rarely,3,3,"Life Sciences",3,3,1,3,2,10609,"Very High",No,17,"11-20 Years",16,10,5,13,0,6,12,3,2,Divorced,No
308,31,25-34,Male,"Research & Development","Manufacturing Director",Non-Travel,1,4,Medical,2,3,3,4,3,4345,Medium,No,6,"6-10 Years",5,4,1,4,0,2,12,3,1,Married,No
309,59,55+,Male,"Research & Development","Research Scientist",Travel_Rarely,3,3,"Life Sciences",1,4,3,1,3,2177,Low,No,7,"6-10 Years",1,0,0,0,3,6,17,3,1,Married,No
311,37,35-44,Male,Sales,"Sales Representative",Travel_Frequently,4,4,Marketing,1,4,1,3,3,2793,Low,No,13,"11-20 Years",9,8,5,8,4,2,17,3,1,Divorced,No
312,29,25-34,Female,Sales,"Sales Executive",Travel_Frequently,1,1,Medical,3,4,2,4,3,7918,High,No,11,"11-20 Years",11,10,4,1,1,5,14,3,1,Married,No
314,35,35-44,Female,Sales,"Sales Executive",Travel_Frequently,1,3,Marketing,3,3,3,1,4,8789,High,No,10,"6-10 Years",10,7,0,8,1,3,14,3,0,Single,No
315,29,25-34,Male,"Research & Development","Research Scientist",Travel_Rarely,18,1,Medical,1,4,3,3,2,2389,Low,Yes,4,"3-5 Years",4,3,0,1,1,3,13,3,0,Single,Yes
316,52,45-54,Female,"Research & Development","Laboratory Technician",Travel_Rarely,2,3,"Life Sciences",1,4,3,2,2,3212,Medium,No,6,"6-10 Years",2,2,2,2,7,3,15,3,0,Single,No
319,42,35-44,Male,"Research & Development",Manager,Travel_Rarely,4,2,"Technical Degree",5,4,3,4,3,19232,"Very High",No,22,"20+ Years",22,17,11,15,1,3,11,3,0,Married,No
321,59,55+,Male,"Human Resources","Human Resources",Travel_Rarely,6,2,Medical,1,3,2,4,2,2267,Low,No,7,"6-10 Years",2,2,2,2,8,2,17,3,0,Married,No
323,50,45-54,Female,Sales,Manager,Travel_Rarely,1,4,Medical,5,4,4,3,2,19517,"Very High",No,32,"20+ Years",7,0,0,6,3,3,11,3,1,Divorced,No
325,33,25-34,Male,"Research & Development","Laboratory Technician",Travel_Rarely,14,3,Medical,1,4,3,3,1,2436,Low,Yes,8,"6-10 Years",5,4,0,4,5,2,13,3,1,Married,Yes
327,43,35-44,Female,Sales,Manager,Travel_Rarely,16,3,Marketing,4,4,4,3,3,16064,"Very High",Yes,22,"20+ Years",17,13,1,9,5,3,22,4,1,Married,No
328,33,25-34,Female,"Research & Development","Laboratory Technician",Travel_Rarely,2,2,"Life Sciences",1,1,1,1,4,2707,Low,No,13,"11-20 Years",9,7,1,7,7,3,20,4,0,Married,Yes
329,52,45-54,Male,Sales,Manager,Non-Travel,2,4,"Life Sciences",5,3,1,4,4,19068,"Very High",Yes,33,"20+ Years",33,7,15,12,1,2,18,3,0,Single,No
330,32,25-34,Female,Sales,"Sales Representative",Travel_Rarely,4,2,"Life Sciences",1,2,3,1,3,3931,Medium,No,6,"6-10 Years",4,3,1,2,2,5,11,3,1,Married,No
331,32,25-34,Male,"Research & Development","Laboratory Technician",Travel_Rarely,1,3,"Life Sciences",1,3,4,4,1,3730,Medium,Yes,4,"3-5 Years",3,2,1,2,0,2,14,3,0,Single,Yes
332,39,35-44,Female,"Research & Development","Laboratory Technician",Travel_Rarely,1,4,Medical,1,3,3,3,3,2232,Low,No,7,"6-10 Years",3,2,1,2,7,1,14,3,3,Divorced,No
333,32,25-34,Male,Sales,"Sales Executive",Non-Travel,26,4,Marketing,2,4,3,1,3,4465,Medium,No,4,"3-5 Years",3,2,2,2,0,2,18,3,0,Married,No
334,41,35-44,Male,"Research & Development","Research Scientist",Travel_Rarely,19,2,"Life Sciences",2,1,3,1,2,3072,Medium,No,17,"11-20 Years",1,0,0,0,2,2,16,3,2,Divorced,No
335,40,35-44,Male,"Research & Development","Research Scientist",Travel_Rarely,24,2,"Technical Degree",2,4,1,1,3,3319,Medium,No,9,"6-10 Years",9,8,4,7,1,3,17,3,2,Divorced,No
336,45,45-54,Male,"Research & Development",Manager,Travel_Rarely,1,3,Other,5,4,3,3,3,19202,"Very High",No,25,"20+ Years",24,0,1,7,0,2,11,3,1,Married,No
337,31,25-34,Male,"Research & Development","Research Director",Travel_Frequently,3,4,Medical,3,3,2,1,3,13675,"Very High",No,9,"6-10 Years",2,2,2,2,9,3,12,3,1,Divorced,No
338,33,25-34,Female,"Research & Development","Research Scientist",Travel_Rarely,5,4,"Life Sciences",1,4,3,3,2,2911,Low,No,2,"0-2 Years",2,2,0,2,1,2,13,3,1,Married,No
339,34,25-34,Male,"Research & Development","Manufacturing Director",Travel_Rarely,2,4,"Life Sciences",2,1,4,2,3,5957,Medium,No,13,"11-20 Years",11,9,5,9,6,3,13,3,1,Married,No
340,37,35-44,Female,"Research & Development","Research Scientist",Travel_Rarely,1,2,Medical,1,1,3,1,2,3920,Medium,No,17,"11-20 Years",3,1,0,2,2,2,14,3,1,Married,No
341,45,45-54,Male,"Research & Development","Manufacturing Director",Travel_Frequently,7,4,"Life Sciences",2,3,1,4,3,6434,High,No,9,"6-10 Years",3,2,0,2,4,1,17,3,1,Married,No
342,37,35-44,Male,"Research & Development","Manufacturing Director",Travel_Frequently,10,3,Medical,3,3,1,2,3,10048,"Very High",No,17,"11-20 Years",1,0,0,0,6,5,11,3,2,Divorced,Yes
343,39,35-44,Female,"Research & Development","Healthcare Representative",Travel_Frequently,2,4,"Technical Degree",3,3,3,4,3,10938,"Very High",No,20,"11-20 Years",19,6,11,8,0,1,25,4,0,Single,No
346,29,25-34,Male,"Research & Development","Research Scientist",Travel_Rarely,15,3,"Life Sciences",1,4,3,1,3,2340,Low,No,6,"6-10 Years",6,5,1,5,1,1,19,3,0,Single,No
347,42,35-44,Female,"Research & Development","Research Scientist",Travel_Rarely,17,2,"Life Sciences",2,1,4,3,3,6545,High,Yes,10,"6-10 Years",3,2,0,2,3,1,13,3,0,Single,No
349,29,25-34,Male,Sales,"Sales Executive",Travel_Rarely,20,2,Marketing,2,4,4,4,3,6931,High,No,10,"6-10 Years",3,2,0,2,2,2,14,3,1,Divorced,No
350,25,25-34,Female,"Research & Development","Manufacturing Director",Travel_Rarely,1,3,"Life Sciences",2,3,1,4,3,4898,Medium,No,5,"3-5 Years",4,2,1,2,0,3,12,3,2,Married,No
351,42,35-44,Female,"Research & Development","Laboratory Technician",Travel_Rarely,2,3,Medical,1,1,4,3,3,2593,Low,Yes,10,"6-10 Years",9,6,7,8,0,4,11,3,1,Divorced,No
352,40,35-44,Male,"Research & Development","Research Director",Travel_Rarely,2,2,Medical,5,3,1,4,3,19436,"Very High",No,22,"20+ Years",21,7,3,9,0,5,19,3,1,Divorced,No
353,51,45-54,Male,"Research & Development","Research Scientist",Travel_Rarely,1,3,"Life Sciences",1,4,3,2,2,2723,Low,No,1,"0-2 Years",1,0,0,0,1,0,11,3,0,Married,No
355,31,25-34,Male,"Research & Development","Laboratory Technician",Travel_Frequently,29,2,Medical,1,2,3,2,4,3479,Medium,No,6,"6-10 Years",5,4,1,4,0,2,11,3,0,Single,Yes
359,32,25-34,Male,"Research & Development","Laboratory Technician",Travel_Frequently,7,3,"Life Sciences",1,2,2,3,1,2794,Low,No,5,"3-5 Years",5,1,0,3,1,3,20,4,0,Married,No
361,38,35-44,Male,Sales,"Sales Executive",Non-Travel,2,2,"Life Sciences",2,4,4,4,3,5249,Medium,No,13,"11-20 Years",8,7,7,5,3,0,18,3,1,Married,No
362,32,25-34,Male,"Research & Development","Laboratory Technician",Travel_Rarely,2,1,"Technical Degree",2,1,4,4,3,2176,Low,No,9,"6-10 Years",6,2,0,4,4,5,13,3,0,Single,No
363,46,45-54,Female,Sales,Manager,Travel_Rarely,2,3,"Technical Degree",4,2,3,2,2,16872,"Very High",Yes,28,"20+ Years",7,7,7,7,3,2,12,3,1,Married,No
364,28,25-34,Male,"Research & Development","Laboratory Technician",Travel_Rarely,2,4,"Life Sciences",1,3,1,3,1,3485,Medium,No,5,"3-5 Years",0,0,0,0,2,5,11,3,0,Single,Yes
366,29,25-34,Male,Sales,"Sales Executive",Travel_Rarely,2,3,Medical,2,2,1,2,3,6644,High,No,10,"6-10 Years",0,0,0,0,2,2,19,3,2,Married,No
367,31,25-34,Male,"Research & Development","Healthcare Representative",Travel_Rarely,23,3,Medical,2,4,2,2,3,5582,Medium,No,10,"6-10 Years",9,0,7,8,0,2,21,4,1,Married,No
369,25,25-34,Male,"Research & Development","Healthcare Representative",Non-Travel,5,2,"Life Sciences",2,1,2,4,3,4000,Medium,No,6,"6-10 Years",6,3,1,5,1,2,12,3,2,Divorced,No
372,45,45-54,Male,"Research & Development","Healthcare Representative",Travel_Rarely,20,2,Medical,4,4,3,2,3,13496,"Very High",Yes,21,"20+ Years",20,7,4,10,0,2,14,3,0,Married,No
373,36,35-44,Male,"Research & Development","Laboratory Technician",Travel_Rarely,6,3,"Life Sciences",1,4,4,3,3,3210,Medium,No,16,"11-20 Years",15,13,10,11,0,4,11,3,1,Married,No
374,55,55+,Male,"Research & Development",Manager,Travel_Rarely,1,3,Medical,5,1,4,3,3,19045,"Very High",Yes,37,"20+ Years",36,10,4,13,0,2,14,3,0,Single,No
376,47,45-54,Male,"Research & Development",Manager,Non-Travel,29,4,"Life Sciences",3,2,1,4,2,11849,"Very High",Yes,10,"6-10 Years",10,7,9,9,1,2,12,3,1,Married,Yes
377,28,25-34,Male,"Research & Development","Research Scientist",Travel_Rarely,9,3,Medical,1,4,4,4,2,2070,Low,No,5,"3-5 Years",5,2,0,4,1,3,23,4,1,Married,No
378,37,35-44,Male,Sales,"Sales Executive",Travel_Rarely,6,4,Medical,2,4,3,2,4,6502,High,No,7,"6-10 Years",5,4,0,1,4,5,14,3,1,Married,No
379,21,"Under 25",Male,"Research & Development","Research Scientist",Travel_Rarely,3,2,Medical,1,3,4,1,4,3230,Medium,No,3,"3-5 Years",3,2,1,0,1,4,17,3,0,Single,No
380,37,35-44,Female,"Research & Development","Research Director",Non-Travel,1,4,Medical,3,4,1,1,3,13603,"Very High",Yes,15,"11-20 Years",5,2,0,2,2,2,18,3,2,Divorced,No
381,35,35-44,Female,"Research & Development",Manager,Travel_Rarely,22,3,"Life Sciences",3,2,2,2,2,11996,"Very High",No,10,"6-10 Years",7,7,6,2,7,6,18,3,1,Divorced,No
382,38,35-44,Female,Sales,"Sales Executive",Travel_Rarely,7,2,Medical,2,1,1,3,3,5605,Medium,Yes,8,"6-10 Years",8,0,7,7,1,3,24,4,1,Divorced,No
384,26,25-34,Female,"Research & Development","Manufacturing Director",Travel_Frequently,1,3,"Life Sciences",2,2,3,1,1,6397,High,No,6,"6-10 Years",6,5,1,4,1,6,20,4,1,Divorced,No
385,50,45-54,Male,"Research & Development","Research Director",Travel_Rarely,4,1,"Life Sciences",5,2,1,1,2,19144,"Very High",No,28,"20+ Years",10,4,1,6,3,4,14,3,2,Divorced,No
386,53,45-54,Male,"Research & Development","Research Director",Travel_Rarely,3,4,Medical,4,3,3,4,2,17584,"Very High",Yes,21,"20+ Years",5,3,1,3,3,5,16,3,3,Married,No
387,42,35-44,Male,Sales,"Sales Executive",Travel_Rarely,1,1,"Life Sciences",2,3,2,3,3,4907,Medium,No,20,"11-20 Years",20,16,11,6,1,3,25,4,0,Married,No
